compounds	minFlux	maxFlux	name	formula	concentration
cpd00007	-100	20	O2	O2	0.001
cpd00971	-100	100	Na+	Na	0.001
cpd00099	-100	100	Cl-	Cl	0.001
cpd00048	-100	100	Sulfate	O4S	0.001
cpd00205	-100	100	K+	K	0.001
cpd00966	-100	100	HBr	Br	0.001
cpd09225	-100	100	Boric acid	H3BO3	0.001
cpd00552	-100	100	F-	F	0.001
cpd00254	-100	100	Mg	Mg	0.001
cpd00063	-100	100	Ca2+	Ca	0.001
cpd09695	-100	100	Sr2+	Sr	0.001
cpd10516	-100	100	Fe3+	Fe	0.001
cpd00013	-100	10	NH3	H4N	0.001
cpd00009	-100	10	Phosphate	HO4P	0.001
cpd00001	-100	100	H2O	H2O	0.001
cpd00104	-100	1	BIOT	C10H15N2O3S	0.001
cpd00393	-100	1	Folate	C19H17N7O6	0.001
cpd00263	-100	1	Pyridoxol	C8H11NO3	0.001
cpd00220	-100	1	Riboflavin	C17H19N4O6	0.001
cpd00305	-100	1	Thiamin	C12H17N4OS	0.001
cpd00133	-100	1	Nicotinamide	C6H6N2O	0.001
cpd00644	-100	1	PAN	C9H16NO5	0.001
cpd00423	-100	1	Vitamin B12r	C63H88CoN14O14P	0.001
cpd00443	-100	1	ABEE	C7H7NO2	0.001
cpd00058	-100	100	Cu2+	Cu	0.001
cpd00030	-100	100	Mn2+	Mn	0.001
cpd00034	-100	100	Zn2+	Zn	0.001
cpd00149	-100	100	Co2+	Co	0.001
cpd00067	-100	100	H+	H	0.001
cpd00221	-100	10	D-Lactate	C3H5O3	0.001
