id	name	formula	charge	compartment	uptake	min_uptake	lowerbound	max_uptake	upperbound
cpd00067_e0	H+ [e0]	H	1		0.890111	-45.1067	-100	37.6094	100
cpd00106_e0	Fumarate [e0]	C4H2O4	-2		0	-7.02778	-1000	0	0
cpd00064_e0	Ornithine [e0]	C5H13N2O2	1		0	0	-1000	0	0
cpd00073_e0	Urea [e0]	CH4N2O	0		0	-4.82336	-1000	0	0
cpd00036_e0	Succinate [e0]	C4H4O4	-2		0	-6.17073	-1000	0	0
cpd04097_e0	Pb [e0]	Pb	2		0	0	-1000	0	0
cpd00154_e0	Xylose [e0]	C5H10O5	0		0	0	-1000	0	0
cpd11585_e0	L-alanylglycine [e0]	C5H10N2O3	0		0	0	-1000	0	0
cpd11582_e0	ala-L-Thr-L [e0]	C7H14N2O4	0		0	0	-1000	0	0
cpd00012_e0	PPi [e0]	HO7P2	-3		0	-4.98538	-1000	0	0
cpd11586_e0	ala-L-glu-L [e0]	C8H13N2O5	-1		0	0	-1000	0	0
cpd01012_e0	Cd2+ [e0]	Cd	2		0	0	-1000	0	0
cpd00080_e0	Glycerol-3-phosphate [e0]	C3H7O6P	-2		0	0	-1000	0	0
cpd00058_e0	Cu2+ [e0]	Cu	2		0.000707786	7.07786e-05	-100	0.000707786	100
cpd00107_e0	L-Leucine [e0]	C6H13NO2	0		0	0	-1000	0	0
cpd01017_e0	Cys-Gly [e0]	C5H10N2O3S	0		0	0	-1000	0	0
cpd00013_e0	NH3 [e0]	H4N	1		3.53279	0.353279	-100	10	10
cpd00244_e0	Ni2+ [e0]	Ni	2		0	0	-1000	0	0
cpd11578_e0	hexanesulfonate [e0]	C6H13O3S	-1		0	0	-1000	0	0
cpd00205_e0	K+ [e0]	K	1		0.000707786	7.07786e-05	-100	0.000707786	100
cpd11591_e0	Gly-Met [e0]	C7H14N2O3S	0		0	0	-1000	0	0
cpd00009_e0	Phosphate [e0]	HO4P	-2		0.292383	0.0292383	-100	10	10
cpd00034_e0	Zn2+ [e0]	Zn	2		0.000707786	7.07786e-05	-100	0.000707786	100
cpd00119_e0	L-Histidine [e0]	C6H9N3O2	0		0	0	-1000	0	0
cpd11593_e0	ala-L-asp-L [e0]	C7H11N2O5	-1		0	0	-1000	0	0
cpd11579_e0	ethanesulfonate [e0]	C2H5O3S	-1		0	0	-1000	0	0
cpd00210_e0	Taurine [e0]	C2H7NO3S	0		0	0	-1000	0	0
cpd15302_c0	glycogen(n-1) [c0]	C24H42O21	0		0	0	-1000	0	0
cpd15605_e0	Gly-Phe [e0]	C11H14N2O3	0		0	0	-1000	0	0
cpd00264_e0	Spermidine [e0]	C7H22N3	3		0	0	-1000	0	0
cpd03091_c0	5'-Deoxyadenosine [c0]	C10H13N5O3	0		0	-0.00141473	-1000	0	0
cpd15603_e0	Gly-Cys [e0]	C5H10N2O3S	0		0	0	-1000	0	0
cpd00039_e0	L-Lysine [e0]	C6H15N2O2	1		0	-2.98819	-1000	0	0
cpd00118_e0	Putrescine [e0]	C4H14N2	2		0	0	-1000	0	0
cpd00309_e0	XAN [e0]	C5H4N4O2	0		0	-2.41168	-1000	0	0
cpd11580_e0	Gly-Gln [e0]	C7H13N3O4	0		0	0	-1000	0	0
cpd01092_e0	Allantoin [e0]	C4H5N4O3	-1		0	0	-1000	0	0
