id	direction	compartment	gpr	name	pathway	equation	definition	flux	min_flux	lowerbound	max_flux	upperbound
rxn02201_c0	>	Cytosol	((Hot5F3Rast.CDS.4527_mRNA or Hot5F3Rast.CDS.4527) or (Hot5F3Rast.CDS.2708_mRNA or Hot5F3Rast.CDS.2708))	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase [c0]		(1) cpd00443[c0] + (1) cpd02920[c0] => (1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00683[c0]	(1) ABEE [c0][c0] + (1) 2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate [c0][c0] => (1) PPi [c0][c0] + (1) H+ [c0][c0] + (1) Dihydropteroate [c0][c0]	0	0	0	49.2246	1000
rxn00351_c0	>	Cytosol	(Hot5F3Rast.CDS.2885_mRNA or Hot5F3Rast.CDS.2885)	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming) [c0]		(1) cpd00002[c0] + (1) cpd00033[c0] + (1) cpd00506[c0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00042[c0] + (1) cpd00067[c0]	(1) ATP [c0][c0] + (1) Glycine [c0][c0] + (1) gamma-Glutamylcysteine [c0][c0] => (1) ADP [c0][c0] + (1) Phosphate [c0][c0] + (1) GSH [c0][c0] + (1) H+ [c0][c0]	0	0	0	24.6123	1000
rxn07431_c0	=	Cytosol	((Hot5F3Rast.CDS.856 or Hot5F3Rast.CDS.856_mRNA) and (Hot5F3Rast.CDS.855 or Hot5F3Rast.CDS.1361_mRNA or Hot5F3Rast.CDS.1361 or Hot5F3Rast.CDS.855_mRNA))	R07600 [c0]		(1) cpd00213[c0] + (1) cpd14700[c0] <=> (1) cpd00056[c0] + (1) cpd02700[c0]	(1) Lipoamide [c0][c0] + (1) 2-Methyl-1-hydroxypropyl-TPP [c0][c0] <=> (1) TPP [c0][c0] + (1) S-(2-Methylpropionyl)-dihydrolipoamide [c0][c0]	0	0	-1000	0	1000
rxn00836_c0	<	Cytosol	(Hot5F3Rast.CDS.3811 or Hot5F3Rast.CDS.3811_mRNA)	IMP:diphosphate phospho-D-ribosyltransferase [c0]		(1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00114[c0] <= (1) cpd00103[c0] + (1) cpd00226[c0]	(1) PPi [c0][c0] + (1) H+ [c0][c0] + (1) IMP [c0][c0] <= (1) PRPP [c0][c0] + (1) HYXN [c0][c0]	0	-49.2246	-1000	0	0
rxn00423_c0	>	Cytosol	(Hot5F3Rast.CDS.4462_mRNA or Hot5F3Rast.CDS.4462)	acetyl-CoA:L-serine O-acetyltransferase [c0]		(1) cpd00022[c0] + (1) cpd00054[c0] => (1) cpd00010[c0] + (1) cpd00722[c0]	(1) Acetyl-CoA [c0][c0] + (1) L-Serine [c0][c0] => (1) CoA [c0][c0] + (1) O-Acetyl-L-serine [c0][c0]	0.0760087	0.00296453	0	0.755139	1000
rxn00364_c0	=	Cytosol	(Hot5F3Rast.CDS.2942_mRNA or Hot5F3Rast.CDS.2942)	ATP:CMP phosphotransferase [c0]		(1) cpd00002[c0] + (1) cpd00046[c0] + (1) cpd00067[c0] <=> (1) cpd00008[c0] + (1) cpd00096[c0]	(1) ATP [c0][c0] + (1) CMP [c0][c0] + (1) H+ [c0][c0] <=> (1) ADP [c0][c0] + (1) CDP [c0][c0]	0.205804	0.0205804	-1000	49.2453	1000
rxn05561_c0	=	Cytosol	(Hot5F3Rast.CDS.5055_mRNA or Hot5F3Rast.CDS.2208_mRNA or Hot5F3Rast.CDS.4064_mRNA or Hot5F3Rast.CDS.5645 or Hot5F3Rast.CDS.3574_mRNA or Hot5F3Rast.CDS.4961 or Hot5F3Rast.CDS.4059 or Hot5F3Rast.CDS.5527_mRNA or Hot5F3Rast.CDS.5608 or Hot5F3Rast.CDS.563_mRNA or Hot5F3Rast.CDS.3605 or Hot5F3Rast.CDS.4059_mRNA or Hot5F3Rast.CDS.2166_mRNA or Hot5F3Rast.CDS.5494_mRNA or Hot5F3Rast.CDS.5527 or Hot5F3Rast.CDS.57 or Hot5F3Rast.CDS.5494 or Hot5F3Rast.CDS.3942_mRNA or Hot5F3Rast.CDS.2208 or Hot5F3Rast.CDS.3605_mRNA or Hot5F3Rast.CDS.5055 or Hot5F3Rast.CDS.57_mRNA or Hot5F3Rast.CDS.678 or Hot5F3Rast.CDS.5378 or Hot5F3Rast.CDS.4381 or Hot5F3Rast.CDS.31 or Hot5F3Rast.CDS.5378_mRNA or Hot5F3Rast.CDS.5539_mRNA or Hot5F3Rast.CDS.563 or Hot5F3Rast.CDS.4961_mRNA or Hot5F3Rast.CDS.4064 or Hot5F3Rast.CDS.3942 or Hot5F3Rast.CDS.2005 or Hot5F3Rast.CDS.3574 or Hot5F3Rast.CDS.5645_mRNA or Hot5F3Rast.CDS.2005_mRNA or Hot5F3Rast.CDS.4361_mRNA or Hot5F3Rast.CDS.31_mRNA or Hot5F3Rast.CDS.5539 or Hot5F3Rast.CDS.678_mRNA or Hot5F3Rast.CDS.4381_mRNA or Hot5F3Rast.CDS.4361 or Hot5F3Rast.CDS.2166)	Transport of dicarboxylates, extracellular [c0]		(1) cpd00067[e0] + (1) cpd00106[e0] <=> (1) cpd00067[c0] + (1) cpd00106[c0]	(1) H+ [e0][e0] + (1) Fumarate [e0][e0] <=> (1) H+ [c0][c0] + (1) Fumarate [c0][c0]	0	-7.02778	-1000	0	1000
rxn03408_c0	=	Cytosol	(Hot5F3Rast.CDS.3448_mRNA or Hot5F3Rast.CDS.3448)	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase [c0]		(1) cpd00037[c0] + (1) cpd03494[c0] <=> (1) cpd00014[c0] + (1) cpd03495[c0]	(1) UDP-N-acetylglucosamine [c0][c0] + (1) Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine [c0][c0] <=> (1) UDP [c0][c0] + (1) Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala [c0][c0]	0.0119032	0.00119032	-1000	0.0119032	1000
rxn02177_c0	>	Cytosol	(Hot5F3Rast.CDS.3365 or Hot5F3Rast.CDS.3365_mRNA)	Isochorismate pyruvate-hydrolase [c0]		(1) cpd00001[c0] + (1) cpd00658[c0] => (1) cpd00020[c0] + (1) cpd02566[c0]	(1) H2O [c0][c0] + (1) Isochorismate [c0][c0] => (1) Pyruvate [c0][c0] + (1) 2,3-Dihydroxy-2,3-dihydrobenzoate [c0][c0]	0	0	0	0	1000
rxn05250_c0	>	Cytosol	(Hot5F3Rast.CDS.1357 or Hot5F3Rast.CDS.2913 or Hot5F3Rast.CDS.2913_mRNA or Hot5F3Rast.CDS.1267_mRNA or Hot5F3Rast.CDS.2048_mRNA or Hot5F3Rast.CDS.1914 or Hot5F3Rast.CDS.1253_mRNA or Hot5F3Rast.CDS.3328 or Hot5F3Rast.CDS.3328_mRNA or Hot5F3Rast.CDS.2110 or Hot5F3Rast.CDS.1914_mRNA or Hot5F3Rast.CDS.5457_mRNA or Hot5F3Rast.CDS.1357_mRNA or Hot5F3Rast.CDS.5457 or Hot5F3Rast.CDS.1253 or Hot5F3Rast.CDS.5390_mRNA or Hot5F3Rast.CDS.3563 or Hot5F3Rast.CDS.1301_mRNA or Hot5F3Rast.CDS.3563_mRNA or Hot5F3Rast.CDS.1267 or Hot5F3Rast.CDS.2048 or Hot5F3Rast.CDS.2110_mRNA or Hot5F3Rast.CDS.1301 or Hot5F3Rast.CDS.5390)	FACOAL160(ISO) [c0]		(1) cpd00002[c0] + (1) cpd00010[c0] + (1) cpd11440[c0] => (1) cpd00012[c0] + (1) cpd00018[c0] + (1) cpd11441[c0]	(1) ATP [c0][c0] + (1) CoA [c0][c0] + (1) fa6 [c0][c0] => (1) PPi [c0][c0] + (1) AMP [c0][c0] + (1) fa6coa [c0][c0]	0	0	0	0	1000
rxn00646_c0	>	Cytosol	(Hot5F3Rast.CDS.2028 or Hot5F3Rast.CDS.2028_mRNA)	L-glutamate:L-cysteine gamma-ligase (ADP-forming) [c0]		(1) cpd00002[c0] + (1) cpd00023[c0] + (1) cpd00084[c0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd00506[c0]	(1) ATP [c0][c0] + (1) L-Glutamate [c0][c0] + (1) L-Cysteine [c0][c0] => (1) ADP [c0][c0] + (1) Phosphate [c0][c0] + (1) H+ [c0][c0] + (1) gamma-Glutamylcysteine [c0][c0]	0	0	0	24.6123	1000
rxn05440_c0	>	Cytosol	(Hot5F3Rast.CDS.3962_mRNA or Hot5F3Rast.CDS.3962 or Hot5F3Rast.CDS.3044 or Hot5F3Rast.CDS.3044_mRNA)	7-methyl-trans-oct-2-enoyl-ACP:NAD+ oxidoreductase (A-specific) [c0]		(1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd11527[c0] => (1) cpd00003[c0] + (1) cpd11528[c0]	(1) NADH [c0][c0] + (1) H+ [c0][c0] + (1) 7-methyl-trans-oct-2-enoyl-ACP [c0][c0] => (1) NAD [c0][c0] + (1) 7-methyl-octanoyl-ACP [c0][c0]	0	0	0	0	1000
rxn01673_c0	=	Cytosol	(Hot5F3Rast.CDS.3769_mRNA or Hot5F3Rast.CDS.3769)	ATP:dCDP phosphotransferase [c0]		(1) cpd00002[c0] + (1) cpd00533[c0] <=> (1) cpd00008[c0] + (1) cpd00356[c0]	(1) ATP [c0][c0] + (1) dCDP [c0][c0] <=> (1) ADP [c0][c0] + (1) dCTP [c0][c0]	0	-16.4085	-1000	0	1000
rxn00247_c0	>	Cytosol	(Hot5F3Rast.CDS.3008 or Hot5F3Rast.CDS.3008_mRNA)	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming) [c0]		(1) cpd00002[c0] + (1) cpd00032[c0] => (1) cpd00008[c0] + (1) cpd00011[c0] + (1) cpd00061[c0]	(1) ATP [c0][c0] + (1) Oxaloacetate [c0][c0] => (1) ADP [c0][c0] + (1) CO2 [c0][c0] + (1) Phosphoenolpyruvate [c0][c0]	0	0	0	49.2246	1000
rxn02342_c0	>	Cytosol	((Hot5F3Rast.CDS.3392_mRNA or Hot5F3Rast.CDS.3392) and (Hot5F3Rast.CDS.4445 or Hot5F3Rast.CDS.4445_mRNA) and (Hot5F3Rast.CDS.4447 or Hot5F3Rast.CDS.4447_mRNA))	R03270 [c0]		(1) cpd00213[c0] + (1) cpd03049[c0] => (1) cpd00056[c0] + (1) cpd00836[c0]	(1) Lipoamide [c0][c0] + (1) 2-Hydroxyethyl-ThPP [c0][c0] => (1) TPP [c0][c0] + (1) S-Acetyldihydrolipoamide [c0][c0]	0	0	0	1000	1000
rxn05156_c0	>	Cytosol	((Hot5F3Rast.CDS.4561_mRNA or Hot5F3Rast.CDS.4561) and (Hot5F3Rast.CDS.4558 or Hot5F3Rast.CDS.4558_mRNA))	ornithine transport via ABC system [c0]		(1) cpd00001[c0] + (1) cpd00002[c0] + (1) cpd00064[e0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00064[c0] + (1) cpd00067[c0]	(1) H2O [c0][c0] + (1) ATP [c0][c0] + (1) Ornithine [e0][e0] => (1) ADP [c0][c0] + (1) Phosphate [c0][c0] + (1) Ornithine [c0][c0] + (1) H+ [c0][c0]	0	0	0	0	1000
rxn01452_c0	<	Cytosol	(Hot5F3Rast.CDS.152_mRNA or Hot5F3Rast.CDS.3288 or Hot5F3Rast.CDS.94 or Hot5F3Rast.CDS.152 or Hot5F3Rast.CDS.3016_mRNA or Hot5F3Rast.CDS.94_mRNA or Hot5F3Rast.CDS.3016 or Hot5F3Rast.CDS.3288_mRNA)	(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase [c0]		(1) cpd00006[c0] + (1) cpd00842[c0] <= (1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd00279[c0]	(1) NADP [c0][c0] + (1) (S)-3-Hydroxybutyryl-CoA [c0][c0] <= (1) NADPH [c0][c0] + (1) H+ [c0][c0] + (1) Acetoacetyl-CoA [c0][c0]	0	-1000	-1000	0	0
rxn00642_c0	>	Cytosol	(Hot5F3Rast.CDS.954 or Hot5F3Rast.CDS.954_mRNA)	GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming) [c0]		(1) cpd00083[c0] => (1) cpd00001[c0] + (1) cpd00900[c0]	(1) GDP-mannose [c0][c0] => (1) H2O [c0][c0] + (1) GDP-4-dehydro-D-rhamnose [c0][c0]	0	0	0	0	1000
rxn00022_c0	>	Cytosol	((Hot5F3Rast.CDS.2169 or Hot5F3Rast.CDS.2169_mRNA) or (Hot5F3Rast.CDS.4163_mRNA or Hot5F3Rast.CDS.4163))	maltose glucohydrolase [c0]		(1) cpd00001[c0] + (1) cpd00179[c0] => (2) cpd00027[c0]	(1) H2O [c0][c0] + (1) Maltose [c0][c0] => (2) D-Glucose [c0][c0]	0	0	0	1000	1000
rxn05667_c0	=	Cytosol	(Hot5F3Rast.CDS.5011 or Hot5F3Rast.CDS.5011_mRNA)	TRANS-RXN4LZ-7041.ce [c0]		(1) cpd00073[e0] <=> (1) cpd00073[c0]	(1) Urea [e0][e0] <=> (1) Urea [c0][c0]	0	-49.2246	-1000	0	1000
rxn02000_c0	=	Cytosol	(Hot5F3Rast.CDS.1001 or Hot5F3Rast.CDS.4934 or Hot5F3Rast.CDS.4934_mRNA or Hot5F3Rast.CDS.1001_mRNA)	dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase [c0]		(1) cpd00521[c0] <=> (1) cpd00522[c0]	(1) dTDP-4-oxo-6-deoxy-D-glucose [c0][c0] <=> (1) dTDP-4-oxo-L-rhamnose [c0][c0]	0	0	-1000	0	1000
rxn03239_c0	=	Cytosol	(Hot5F3Rast.CDS.5097 or Hot5F3Rast.CDS.756 or Hot5F3Rast.CDS.857_mRNA or Hot5F3Rast.CDS.1937 or Hot5F3Rast.CDS.857 or Hot5F3Rast.CDS.1108)	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase [c0]		(1) cpd00003[c0] + (1) cpd03113[c0] <=> (1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd03114[c0]	(1) NAD [c0][c0] + (1) (S)-3-Hydroxyhexadecanoyl-CoA [c0][c0] <=> (1) NADH [c0][c0] + (1) H+ [c0][c0] + (1) 3-Oxopalmitoyl-CoA [c0][c0]	0	0	-1000	49.2246	1000
rxn03534_c0	=	Cytosol	(Hot5F3Rast.CDS.3578 or Hot5F3Rast.CDS.3578_mRNA)	R05219 [c0]		(1) cpd00001[c0] + (1) cpd00017[c0] + (1) cpd03839[c0] <=> (1) cpd00019[c0] + (1) cpd00029[c0] + (2) cpd00067[c0] + (1) cpd03761[c0]	(1) H2O [c0][c0] + (1) S-Adenosyl-L-methionine [c0][c0] + (1) Precorrin 5 [c0][c0] <=> (1) S-Adenosyl-homocysteine [c0][c0] + (1) Acetate [c0][c0] + (2) H+ [c0][c0] + (1) Precorrin 6A [c0][c0]	0	0	-1000	0	1000
rxn02632_c0	=	Cytosol	(Hot5F3Rast.CDS.5048_mRNA or Hot5F3Rast.CDS.5048)	(S,S)-Butane-2,3-diol:NAD+ oxidoreductase [c0]		(1) cpd00003[c0] + (1) cpd01949[c0] <=> (1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd01221[c0]	(1) NAD [c0][c0] + (1) (S,S)-2,3-Butanediol [c0][c0] <=> (1) NADH [c0][c0] + (1) H+ [c0][c0] + (1) (S)-Acetoin [c0][c0]	0	0	-1000	0	1000
rxn00654_c0	>	Cytosol	(Hot5F3Rast.CDS.1495 or Hot5F3Rast.CDS.1495_mRNA)	N-Carbamoyl-beta-alanine amidohydrolase [c0]		(1) cpd00001[c0] + (2) cpd00067[c0] + (1) cpd01720[c0] => (1) cpd00011[c0] + (1) cpd00013[c0] + (1) cpd00085[c0]	(1) H2O [c0][c0] + (2) H+ [c0][c0] + (1) 3-Ureidopropanoate [c0][c0] => (1) CO2 [c0][c0] + (1) NH3 [c0][c0] + (1) beta-Alanine [c0][c0]	0.00118741	0.000118741	0	0.00118741	1000
rxn05457_c0	=	Cytosol	(Hot5F3Rast.CDS.4487 or Hot5F3Rast.CDS.4487_mRNA)	[Acyl-carrier-protein] acetyltransferase [c0]		(1) cpd00010[c0] + (1) cpd11466[c0] <=> (1) cpd01695[c0] + (1) cpd11493[c0]	(1) CoA [c0][c0] + (1) Myristoyl-ACP [c0][c0] <=> (1) Myristoyl-CoA [c0][c0] + (1) ACP [c0][c0]	0	-49.2246	-1000	3.5471	1000
rxn00107_c0	>	Cytosol	(Hot5F3Rast.CDS.3769_mRNA or Hot5F3Rast.CDS.3769)	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase [c0]		(1) cpd00002[c0] + (1) cpd07923[c0] => (1) cpd00008[c0] + (1) cpd07924[c0]	(1) ATP [c0][c0] + (1) 2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate [c0][c0] => (1) ADP [c0][c0] + (1) 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate [c0][c0]	0	0	0	0	1000
rxn08934_c0	=	Cytosol	(Hot5F3Rast.CDS.4163_mRNA or Hot5F3Rast.CDS.4163)	Maltodextrin glucosidase (maltopentaose) [c0]		(1) cpd00001[c0] + (1) cpd15495[c0] <=> (1) cpd00027[c0] + (1) cpd01399[c0]	(1) H2O [c0][c0] + (1) Maltopentaose [c0][c0] <=> (1) D-Glucose [c0][c0] + (1) Maltotetraose [c0][c0]	0	-1000	-1000	1000	1000
rxn04070_c0	>	Cytosol	(Hot5F3Rast.CDS.2712_mRNA or Hot5F3Rast.CDS.2712)	pyridoxine 5'-phosphate synthase [c0]		(1) cpd08289[c0] + (1) cpd08449[c0] => (2) cpd00001[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd00478[c0]	(1) 1-deoxy-D-xylulose5-phosphate [c0][c0] + (1) 3-Amino-2-oxopropyl phosphate [c0][c0] => (2) H2O [c0][c0] + (1) Phosphate [c0][c0] + (1) H+ [c0][c0] + (1) Pyridoxine phosphate [c0][c0]	0	0	0	0	1000
rxn00199_c0	>	Cytosol	(Hot5F3Rast.CDS.2188 or Hot5F3Rast.CDS.4263 or Hot5F3Rast.CDS.4263_mRNA)	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming) [c0]		(1) cpd00067[c0] + (1) cpd03187[c0] => (1) cpd00011[c0] + (1) cpd00024[c0]	(1) H+ [c0][c0] + (1) Oxalosuccinate [c0][c0] => (1) CO2 [c0][c0] + (1) 2-Oxoglutarate [c0][c0]	5.19384	0	0	25.9278	1000
